A0,phi_baseline,Q_eff,d_AR,A_AR,phi_att,phi_rep,phi_max,d_phimax,d_50,A_50,d_70,A_70,slope_AR,slope_contact,d_contact,slope_50,slope_70,drive_nm
98.40856307619106,96.7468032836914,200.0,51.357558405869526,96.08227148410737,96.80056889851888,54.28813076019287,99.94988250732422,53.24545782059431,14.971342391249179,49.20428153809553,29.500311393059718,68.88599415333374,-0.7502871781779848,,,-1.3637959085633384,-1.3131745255683842,98.42525940939595
86.95543129988437,96.7838134765625,200.0,43.217233995387794,82.8254886306915,97.01197942097981,53.801015853881836,102.84605407714844,45.286469685379416,13.090915791921056,43.47771564994218,26.020446783009785,60.86880190991905,-1.0102910242060663,,,-1.3585860545482171,-1.3556981071992846,86.93818074334558
74.71477658782533,96.71397399902344,200.0,36.85432930367869,70.63829038938132,96.947998046875,52.39690692608173,103.15746307373047,39.26152203348465,11.32402392613717,37.35738829391266,22.43704657101729,52.30034361147773,-0.9954725274723351,,,-1.336561382598081,-1.3392079746038799,74.73387100276341
62.40517080868812,96.67700958251953,200.0,29.158330620539218,57.235170753976824,97.55508931477864,48.13290882110596,106.58209228515625,30.82641342189163,9.20219130683202,31.20258540434406,18.358037467054576,43.68361956608168,-0.9563070769943288,,,-1.3638226724749984,-1.3349833961139363,62.39594583234974
50.000522833215655,96.65438842773438,200.0,22.540761621161174,44.19475719274857,98.03040250142415,44.79319540659586,109.30938720703125,24.155724531738088,7.278426806047951,25.000261416607827,14.880056901093493,35.00036598325096,-0.986600621901366,,,-1.3137440264345155,-1.299115277777524,50.023010800259726
47.590891227855536,96.70027923583984,200.0,21.50085122683944,41.92492219980673,97.54915688254617,47.96873156229655,109.56868743896484,22.708263713866472,6.702166496780833,23.795445613927768,14.016607340815616,33.313623859498875,-0.9852200732158702,,,-1.2810016876934196,-1.250663658083112,47.61547316434189
42.56649788203504,96.67617797851562,200.0,16.83986821439148,35.06355351282733,99.18000729878743,47.7563923922452,114.84861755371094,18.80516720120795,5.706034829004486,21.28324894101752,12.19975361282987,29.796548517424522,-1.0707752886544042,,,-1.3303637655191778,-1.155142040292311,42.53341465698668
37.545362374658,96.68075561523438,200.0,10.355428684740998,25.379707400210734,104.17994244893391,46.46737416585287,126.07182312011719,12.505552149377763,4.728220768646873,18.772681187329,10.905797080975105,26.2817536622606,-1.1118911076583398,,,-1.3160267918105522,-1.200950957345085,37.53453974297827
32.334121158328344,96.8308334350586,200.0,6.298489119470333,18.248550774799245,106.0761267344157,45.856834411621094,131.47950744628906,8.71068550623022,3.7096110376718707,16.167060579164172,9.220985387805351,22.63388481082984,-1.1635604075857777,,,-1.222665893297734,-1.178476770335234,32.35326992978571
27.447331518715146,96.61056518554688,200.0,3.2489412303954106,11.565410101161852,111.83404922485352,,139.38099670410156,4.930370778311044,4.6654304696807065,13.723665759357573,8.834076280410207,19.213132063100602,-1.2008733011546762,,,-1.4515479908643765,-1.1531141102740525,27.380439959756586
22.19125327940219,96.58130645751953,200.0,,,,,154.11196899414062,0.0,3.055032904871175,11.095626639701095,6.243173959677434,15.533877295581531,,,,-1.3680223336759938,-1.1694563316765536,22.202848448671375
17.185657341656224,96.37178039550781,200.0,,,,,156.1139678955078,0.0,2.282500527724428,8.592828670828112,4.706711586277212,12.029960139159357,,,,-1.4350781469285034,-1.1853153068859874,17.188024337144725
12.065896726198844,96.76734924316406,200.0,,,,,158.04827880859375,0.0,1.5693537485009357,6.032948363099422,3.1254131619382397,8.44612770833919,,,,-1.2940621154484915,-0.910116599014606,12.128640136666036
7.04687685981753,96.32669830322266,200.0,,,,,156.268310546875,0.0,0.3591806274281736,3.523438429908765,1.2349569441870605,4.932813801872271,,,,-0.8603248639719816,-0.4429145770523215,7.019707837230271
2.0042107973239354,96.80421447753906,200.0,,,,,142.46908569335938,0.0,0.29956785600756297,1.0021053986619677,0.7833661924957922,1.4029475581267548,,,,-0.24431926914702043,-0.24431926914702043,2.022542666679783
